fid,municipal,muni_id,complies_with_zoning,%_compliant_zoning,logrecno,geoid,years,pop,nhwhi,nhaa,nhna,nhapi,nhas,nhpi,nhoth,nhmlt,latino,nhwhi_p,nhaa_p,nhna_p,nhapi_p,nhas_p,nhpi_p,nhoth_p,nhmlt_p,lat_p
"1",Acton,2,"0",96.591,"207",06000US2501700380,"2020","24021","15164","572","18","6028","6024","4","232","1087","920",63.1,2.4,0.1,25.1,25.1,0,1,4.5,3.8
"2",Arlington,10,"0",97.824,"208",06000US2501701605,"2020","46308","34813","1052","28","5648","5642","6","282","2348","2137",75.2,2.3,0.1,12.2,12.2,0,0.6,5.1,4.6
"3",Ashland,14,"0",95.769,"210",06000US2501702130,"2020","18832","12891","514","29","2460","2458","2","649","1132","1157",68.5,2.7,0.2,13.1,13.1,0,3.4,6,6.1
"4",Bedford,23,"0",96.526,"212",06000US2501704615,"2020","14383","10578","365","15","2241","2241","0","68","600","516",73.5,2.5,0.1,15.6,15.6,0,0.5,4.2,3.6
"5",Bellingham,25,"0",94.797,"264",06000US2502104930,"2020","16945","14471","297","21","506","503","3","177","720","753",85.4,1.8,0.1,3,3,0,1,4.2,4.4
"6",Belmont,26,"0",96.313,"213",06000US2501705070,"2020","27295","18989","519","13","5043","5038","5","176","1282","1273",69.6,1.9,0,18.5,18.5,0,0.6,4.7,4.7
"7",Beverly,30,"0",96.392,"106",06000US2500905595,"2020","42670","36111","916","27","939","929","10","290","1690","2697",84.6,2.1,0.1,2.2,2.2,0,0.7,4,6.3
"8",Bolton,34,"0",95.778,"330",06000US2502706365,"2020","5665","4903","16","0","269","269","0","49","279","149",86.5,0.3,0,4.7,4.7,0,0.9,4.9,2.6
"9",Boston,35,"0",94.667,"320",06000US2502507000,"2020","675647","301464","129264","989","75839","75588","251","9257","32721","126113",44.6,19.1,0.1,11.2,11.2,0,1.4,4.8,18.7
"10",Boxborough,37,"0",91.205,"215",06000US2501707350,"2020","5506","3694","119","1","1187","1186","1","38","249","218",67.1,2.2,0,21.6,21.5,0,0.7,4.5,4
"11",Braintree,40,"0",88.425,"265",06000US2502107740,"2020","39143","27425","1275","34","6748","6739","9","440","1361","1860",70.1,3.3,0.1,17.2,17.2,0,1.1,3.5,4.8
"12",Brookline,46,"0",96.62,"266",06000US2502109175,"2020","63191","41243","1961","38","12102","12091","11","391","3184","4272",65.3,3.1,0.1,19.2,19.1,0,0.6,5,6.8
"13",Burlington,48,"0",95.305,"216",06000US2501709840,"2020","26377","18460","1221","15","4696","4694","2","158","794","1033",70,4.6,0.1,17.8,17.8,0,0.6,3,3.9
"14",Cambridge,49,"0",97.324,"217",06000US2501711000,"2020","118403","65553","12016","154","22677","22628","49","993","6272","10738",55.4,10.1,0.1,19.2,19.1,0,0.8,5.3,9.1
"15",Canton,50,"0",92.07,"267",06000US2502111315,"2020","24370","17772","2224","16","2150","2139","11","190","941","1077",72.9,9.1,0.1,8.8,8.8,0,0.8,3.9,4.4
"16",Carlisle,51,"0",98.084,"218",06000US2501711525,"2020","5237","4129","35","0","596","594","2","29","282","166",78.8,0.7,0,11.4,11.3,0,0.6,5.4,3.2
"17",Chelsea,57,"0",97.847,"321",06000US2502513205,"2020","40787","8242","2667","69","1307","1299","8","649","1027","26826",20.2,6.5,0.2,3.2,3.2,0,1.6,2.5,65.8
"18",Cohasset,65,"0",94.873,"268",06000US2502114640,"2020","8381","7777","29","11","98","98","0","23","252","191",92.8,0.3,0.1,1.2,1.2,0,0.3,3,2.3
"19",Concord,67,"0",98.212,"220",06000US2501715060,"2020","18491","15129","462","1","1175","1171","4","88","775","861",81.8,2.5,0,6.4,6.3,0,0.5,4.2,4.7
"20",Danvers,71,"0",92.103,"108",06000US2500916250,"2020","28087","24516","525","23","651","650","1","176","951","1245",87.3,1.9,0.1,2.3,2.3,0,0.6,3.4,4.4
"21",Dedham,73,"0",98.67,"269",06000US2502116495,"2020","25364","19775","1501","15","956","951","5","167","825","2125",78,5.9,0.1,3.8,3.7,0,0.7,3.3,8.4
"22",Dover,78,"0",98.118,"270",06000US2502117405,"2020","5923","4786","48","4","600","600","0","27","292","166",80.8,0.8,0.1,10.1,10.1,0,0.5,4.9,2.8
"23",Duxbury,82,"0",93.709,"296",06000US2502317895,"2020","16090","14913","67","15","220","220","0","57","472","346",92.7,0.4,0.1,1.4,1.4,0,0.4,2.9,2.2
"24",Essex,92,"0",45.959,"109",06000US2500921850,"2020","3675","3398","16","0","35","35","0","13","112","101",92.5,0.4,0,1,1,0,0.4,3,2.7
"25",Everett,93,"0",89.931,"223",06000US2501721990,"2020","49075","16729","6929","55","3702","3692","10","3110","4560","13990",34.1,14.1,0.1,7.5,7.5,0,6.3,9.3,28.5
"26",Foxborough,99,"0",95.693,"271",06000US2502124820,"2020","18618","15573","766","12","836","834","2","121","605","705",83.6,4.1,0.1,4.5,4.5,0,0.6,3.2,3.8
"27",Framingham,100,"0",95.375,"224",06000US2501724960,"2020","72362","38855","4248","84","5250","5233","17","5446","6308","12171",53.7,5.9,0.1,7.3,7.2,0,7.5,8.7,16.8
"28",Franklin,101,"0",95.296,"272",06000US2502125172,"2020","33261","28305","635","21","1845","1829","16","194","1040","1221",85.1,1.9,0.1,5.5,5.5,0,0.6,3.1,3.7
"29",Gloucester,107,"0",98.662,"111",06000US2500926150,"2020","29729","26256","294","33","348","332","16","279","1133","1386",88.3,1,0.1,1.2,1.1,0.1,0.9,3.8,4.7
"30",Hamilton,119,"0",99.057,"113",06000US2500927900,"2020","7561","6719","56","7","310","310","0","23","249","197",88.9,0.7,0.1,4.1,4.1,0,0.3,3.3,2.6
"31",Hanover,122,"0",97.733,"299",06000US2502328285,"2020","14833","13627","112","6","270","269","1","114","427","277",91.9,0.8,0,1.8,1.8,0,0.8,2.9,1.9
"32",Hingham,131,"0",98.556,"301",06000US2502330210,"2020","24284","22218","143","10","550","550","0","93","731","539",91.5,0.6,0,2.3,2.3,0,0.4,3,2.2
"33",Holbrook,133,"0",90.348,"273",06000US2502130455,"2020","11405","7484","1660","14","531","529","2","225","668","823",65.6,14.6,0.1,4.7,4.6,0,2,5.9,7.2
"34",Holliston,136,"0",94.9,"226",06000US2501730700,"2020","14996","12621","172","7","933","931","2","167","584","512",84.2,1.1,0,6.2,6.2,0,1.1,3.9,3.4
"35",Hopkinton,139,"0",98.181,"227",06000US2501731085,"2020","18758","13733","183","8","3343","3342","1","120","638","733",73.2,1,0,17.8,17.8,0,0.6,3.4,3.9
"36",Hudson,141,"0",98.342,"228",06000US2501731540,"2020","20092","15797","365","9","579","576","3","549","1530","1263",78.6,1.8,0,2.9,2.9,0,2.7,7.6,6.3
"37",Hull,142,"0",97.483,"302",06000US2502331645,"2020","10072","9236","73","16","112","107","5","58","354","223",91.7,0.7,0.2,1.1,1.1,0,0.6,3.5,2.2
"38",Ipswich,144,"0",93.414,"115",06000US2500932310,"2020","13785","12551","82","3","216","215","1","94","431","408",91,0.6,0,1.6,1.6,0,0.7,3.1,3
"39",Lexington,155,"0",88.434,"229",06000US2501735215,"2020","34454","19519","459","21","11404","11404","0","236","1635","1180",56.7,1.3,0.1,33.1,33.1,0,0.7,4.7,3.4
"40",Lincoln,157,"0",98.688,"230",06000US2501735425,"2020","7014","5343","223","12","462","450","12","71","394","509",76.2,3.2,0.2,6.6,6.4,0.2,1,5.6,7.3
"41",Littleton,158,"0",98.949,"231",06000US2501735950,"2020","10141","8428","128","12","830","826","4","57","358","328",83.1,1.3,0.1,8.2,8.1,0,0.6,3.5,3.2
"42",Lynn,163,"0",87.446,"117",06000US2500937490,"2020","101253","34536","10735","115","6850","6822","28","1077","3380","44560",34.1,10.6,0.1,6.8,6.7,0,1.1,3.3,44
"43",Lynnfield,164,"0",98.085,"118",06000US2500937560,"2020","13000","11241","110","1","755","755","0","74","418","401",86.5,0.8,0,5.8,5.8,0,0.6,3.2,3.1
"44",Malden,165,"0",93.811,"233",06000US2501737875,"2020","66263","26511","9428","76","17134","17120","14","1836","4387","6891",40,14.2,0.1,25.9,25.8,0,2.8,6.6,10.4
"45",Manchester,166,"0",96.665,"119",06000US2500937995,"2020","5395","5034","7","1","57","57","0","27","149","120",93.3,0.1,0,1.1,1.1,0,0.5,2.8,2.2
"46",Marblehead,168,"0",97.968,"120",06000US2500938400,"2020","20441","18555","154","18","271","270","1","80","593","770",90.8,0.8,0.1,1.3,1.3,0,0.4,2.9,3.8
"47",Marlborough,170,"0",97.694,"234",06000US2501738715,"2020","41793","24696","1294","50","2453","2450","3","2657","4012","6631",59.1,3.1,0.1,5.9,5.9,0,6.4,9.6,15.9
"48",Marshfield,171,"0",96.139,"306",06000US2502338855,"2020","25825","24071","135","20","219","213","6","192","697","491",93.2,0.5,0.1,0.8,0.8,0,0.7,2.7,1.9
"49",Maynard,174,"0",95.38,"235",06000US2501739625,"2020","10746","8921","210","6","364","363","1","125","523","597",83,2,0.1,3.4,3.4,0,1.2,4.9,5.6
"50",Medfield,175,"0",97.887,"274",06000US2502139765,"2020","12799","11197","141","6","492","490","2","51","506","406",87.5,1.1,0,3.8,3.8,0,0.4,4,3.2
"51",Medford,176,"0",98.635,"236",06000US2501739835,"2020","59659","39840","4836","43","6837","6819","18","1156","3242","3705",66.8,8.1,0.1,11.5,11.4,0,1.9,5.4,6.2
"52",Medway,177,"0",95.957,"275",06000US2502139975,"2020","13115","11579","174","21","381","377","4","113","435","412",88.3,1.3,0.2,2.9,2.9,0,0.9,3.3,3.1
"53",Melrose,178,"0",99.097,"237",06000US2501740115,"2020","29817","23736","938","17","2222","2215","7","234","1317","1353",79.6,3.1,0.1,7.5,7.4,0,0.8,4.4,4.5
"54",Middleton,184,"0",88.647,"123",06000US2500941095,"2020","9779","8240","168","7","331","331","0","68","243","722",84.3,1.7,0.1,3.4,3.4,0,0.7,2.5,7.4
"55",Milford,185,"0",94.047,"351",06000US2502741165,"2020","30379","20045","689","32","678","677","1","2023","3175","3737",66,2.3,0.1,2.2,2.2,0,6.7,10.5,12.3
"56",Millis,187,"0",96.427,"276",06000US2502141515,"2020","8460","7446","111","13","235","234","1","52","313","290",88,1.3,0.2,2.8,2.8,0,0.6,3.7,3.4
"57",Milton,189,"0",99.186,"277",06000US2502141690,"2020","28630","20315","3581","42","1793","1785","8","216","1282","1401",71,12.5,0.1,6.3,6.2,0,0.8,4.5,4.9
"58",Nahant,196,"0",95.824,"124",06000US2500943580,"2020","3334","3033","37","1","52","52","0","14","95","102",91,1.1,0,1.6,1.6,0,0.4,2.8,3.1
"59",Natick,198,"0",98.633,"238",06000US2501743895,"2020","37006","27985","783","42","4432","4431","1","421","1581","1762",75.6,2.1,0.1,12,12,0,1.1,4.3,4.8
"60",Needham,199,"0",96.303,"278",06000US2502144105,"2020","32091","26013","452","10","3036","3033","3","192","1165","1223",81.1,1.4,0,9.5,9.5,0,0.6,3.6,3.8
"61",Newton,207,"0",98.258,"239",06000US2501745560,"2020","88923","62303","2554","49","14706","14681","25","765","4053","4493",70.1,2.9,0.1,16.5,16.5,0,0.9,4.6,5.1
"62",Norfolk,208,"0",98.164,"279",06000US2502146050,"2020","11662","9809","596","14","306","306","0","32","303","602",84.1,5.1,0.1,2.6,2.6,0,0.3,2.6,5.2
"63",North Reading,213,"0",94.734,"240",06000US2501748955,"2020","15554","13769","131","18","590","589","1","80","500","466",88.5,0.8,0.1,3.8,3.8,0,0.5,3.2,3
"64",Norwell,219,"0",99.496,"309",06000US2502350145,"2020","11351","10354","64","1","271","269","2","71","338","252",91.2,0.6,0,2.4,2.4,0,0.6,3,2.2
"65",Norwood,220,"0",98.297,"280",06000US2502150250,"2020","31611","22932","2299","32","2354","2351","3","373","1297","2324",72.5,7.3,0.1,7.4,7.4,0,1.2,4.1,7.4
"66",Peabody,229,"0",98.653,"128",06000US2500952490,"2020","54481","42140","1775","55","1328","1323","5","1050","2719","5414",77.3,3.3,0.1,2.4,2.4,0,1.9,5,9.9
"67",Pembroke,231,"0",95.587,"310",06000US2502352630,"2020","18361","16984","112","17","182","177","5","120","627","319",92.5,0.6,0.1,1,1,0,0.7,3.4,1.7
"68",Quincy,243,"0",97.969,"282",06000US2502155745,"2020","101636","55055","5449","117","31212","31196","16","1011","3578","5214",54.2,5.4,0.1,30.7,30.7,0,1,3.5,5.1
"69",Randolph,244,"0",98.62,"283",06000US2502156000,"2020","34984","9289","14662","72","4506","4501","5","729","1928","3798",26.6,41.9,0.2,12.9,12.9,0,2.1,5.5,10.9
"70",Reading,246,"0",96.815,"242",06000US2501756130,"2020","25518","22253","318","23","1351","1347","4","139","746","688",87.2,1.2,0.1,5.3,5.3,0,0.5,2.9,2.7
"71",Revere,248,"0",95.648,"322",06000US2502556585,"2020","62186","27949","2912","64","3448","3431","17","1593","3045","23175",44.9,4.7,0.1,5.5,5.5,0,2.6,4.9,37.3
"72",Rockland,251,"0",91.773,"314",06000US2502357775,"2020","17803","14696","602","20","351","350","1","454","1069","611",82.5,3.4,0.1,2,2,0,2.6,6,3.4
"73",Rockport,252,"0",88.987,"129",06000US2500957880,"2020","6992","6512","50","0","67","67","0","36","155","172",93.1,0.7,0,1,1,0,0.5,2.2,2.5
"74",Salem,258,"0",90.599,"131",06000US2500959105,"2020","44480","30477","1828","57","1266","1255","11","330","1737","8785",68.5,4.1,0.1,2.8,2.8,0,0.7,3.9,19.8
"75",Saugus,262,"0",91.927,"133",06000US2500960015,"2020","28619","21485","1077","25","1411","1408","3","575","1445","2601",75.1,3.8,0.1,4.9,4.9,0,2,5,9.1
"76",Scituate,264,"0",97.753,"315",06000US2502360330,"2020","19063","17808","61","11","128","125","3","136","619","300",93.4,0.3,0.1,0.7,0.7,0,0.7,3.2,1.6
"77",Sharon,266,"0",98.9,"284",06000US2502160785,"2020","18575","12406","736","15","3932","3931","1","133","749","604",66.8,4,0.1,21.2,21.2,0,0.7,4,3.3
"78",Sherborn,269,"0",96.436,"243",06000US2501761380,"2020","4401","3594","27","2","336","335","1","36","257","149",81.7,0.6,0,7.6,7.6,0,0.8,5.8,3.4
"79",Somerville,274,"0",98.509,"245",06000US2501762535,"2020","81045","52874","4215","80","8579","8567","12","1288","4850","9159",65.2,5.2,0.1,10.6,10.6,0,1.6,6,11.3
"80",Southborough,277,"0",96.912,"367",06000US2502763165,"2020","10450","7886","106","3","1525","1518","7","111","446","373",75.5,1,0,14.6,14.5,0.1,1.1,4.3,3.6
"81",Stoneham,284,"0",97.798,"246",06000US2501767665,"2020","23244","18930","642","16","1512","1510","2","191","973","980",81.4,2.8,0.1,6.5,6.5,0,0.8,4.2,4.2
"82",Stoughton,285,"0",88.198,"285",06000US2502167945,"2020","29281","17871","5075","33","1591","1585","6","807","1980","1924",61,17.3,0.1,5.4,5.4,0,2.8,6.8,6.6
"83",Stow,286,"0",97.299,"247",06000US2501768050,"2020","7174","6151","65","3","311","311","0","44","341","259",85.7,0.9,0,4.3,4.3,0,0.6,4.8,3.6
"84",Sudbury,288,"0",97.35,"248",06000US2501768260,"2020","18934","15321","239","2","1702","1697","5","119","864","687",80.9,1.3,0,9,9,0,0.6,4.6,3.6
"85",Swampscott,291,"0",95.734,"134",06000US2500968645,"2020","15111","12959","253","8","331","326","5","107","451","1002",85.8,1.7,0.1,2.2,2.2,0,0.7,3,6.6
"86",Topsfield,298,"0",96.375,"135",06000US2500970150,"2020","6569","5911","43","4","118","118","0","27","196","270",90,0.7,0.1,1.8,1.8,0,0.4,3,4.1
"87",Wakefield,305,"0",98.008,"252",06000US2501772215,"2020","27090","23223","410","21","1144","1143","1","197","949","1146",85.7,1.5,0.1,4.2,4.2,0,0.7,3.5,4.2
"88",Walpole,307,"0",83.266,"286",06000US2502172495,"2020","26383","21861","810","24","1406","1402","4","261","905","1116",82.9,3.1,0.1,5.3,5.3,0,1,3.4,4.2
"89",Waltham,308,"0",92.308,"253",06000US2501772600,"2020","65218","39370","4446","73","7946","7926","20","661","2003","10719",60.4,6.8,0.1,12.2,12.2,0,1,3.1,16.4
"90",Watertown,314,"0",89.078,"254",06000US2501773440,"2020","35329","25829","1212","35","3347","3346","1","518","1670","2718",73.1,3.4,0.1,9.5,9.5,0,1.5,4.7,7.7
"91",Wayland,315,"0",99.142,"255",06000US2501773790,"2020","13943","10703","119","8","1893","1887","6","61","618","541",76.8,0.9,0.1,13.6,13.5,0,0.4,4.4,3.9
"92",Wellesley,317,"0",98.581,"287",06000US2502174175,"2020","29550","21653","588","9","4393","4384","9","226","1158","1523",73.3,2,0,14.9,14.8,0,0.8,3.9,5.2
"93",Wenham,320,"0",97.671,"136",06000US2500974595,"2020","4979","4354","84","3","200","198","2","16","95","227",87.4,1.7,0.1,4,4,0,0.3,1.9,4.6
"94",Weston,333,"0",99.333,"257",06000US2501777255,"2020","11851","8768","241","9","1893","1892","1","54","400","486",74,2,0.1,16,16,0,0.5,3.4,4.1
"95",Westwood,335,"0",99.65,"288",06000US2502178690,"2020","16266","13462","263","2","1478","1478","0","75","522","464",82.8,1.6,0,9.1,9.1,0,0.5,3.2,2.9
"96",Weymouth,336,"0",97.072,"289",06000US2502178972,"2020","57437","44465","2649","82","4000","3991","9","920","2757","2564",77.4,4.6,0.1,7,6.9,0,1.6,4.8,4.5
"97",Wilmington,342,"0",96.999,"258",06000US2501780230,"2020","23349","20132","302","15","1266","1257","9","130","810","694",86.2,1.3,0.1,5.4,5.4,0,0.6,3.5,3
"98",Winchester,344,"0",96.265,"259",06000US2501780510,"2020","22970","17133","218","4","3692","3686","6","165","985","773",74.6,0.9,0,16.1,16,0,0.7,4.3,3.4
"99",Winthrop,346,"0",98.059,"323",06000US2502581005,"2020","19316","15245","412","25","294","289","5","203","724","2413",78.9,2.1,0.1,1.5,1.5,0,1.1,3.7,12.5
"100",Woburn,347,"0",97.38,"260",06000US2501781035,"2020","40876","29746","2158","36","3465","3459","6","756","2113","2602",72.8,5.3,0.1,8.5,8.5,0,1.8,5.2,6.4
"101",Wrentham,350,"0",97.647,"290",06000US2502182315,"2020","12178","10908","156","13","335","333","2","51","408","307",89.6,1.3,0.1,2.8,2.7,0,0.4,3.4,2.5
